Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газоблоки онлайн,,42,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблоки самара производитель,,42,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
калькулятор блоков газобетона,,42,samara,информационный,/samara/calculator,калькулятор,"Webmaster, Wordstat",2,длинный,средняя,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=1.0; clicks=1.0
калькулятор газобетонных блоков,,42,samara,информационный,/samara/calculator,калькулятор,"Webmaster, Wordstat",2,длинный,средняя,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=2.0; clicks=2.0
кладу газобетон,,42,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
купить газоблок от производителя,,42,samara,коммерческий,/samara/catalog,покупка,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
купить газоблоки в самаре от производителя,,42,samara,коммерческий,/samara/catalog,покупка,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
купить газоблоки в самаре от производителя цена сгзсб,,42.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=42.0; clicks=29.0
перегородочный блок газобетон сгзсб,,42.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=42.0; clicks=31.0
стоимость газобетонного блока в самаре сгзсб,,42.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=42.0; clicks=29.0
строительная компания газобетон,,42,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон 10,,41,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетонные блоки d500,,41,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетонные блоки коттедж самара,,41,samara,коммерческий,/samara/catalog,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=2.0; clicks=1.0
газобетонные блоки от производителя цена купить сгзсб,,41.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=41.0; clicks=31.0
газобетонные блоки цена сгзсб,,41.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=41.0; clicks=30.0
газоблок размеры и цены сгзсб,,41.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=41.0; clicks=31.0
газоблок цена в самаре за куб сгзсб,,41.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=41.0; clicks=29.0
газоблок цена за штуку сгзсб,,41.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=41.0; clicks=28.0
газоблоки производителя цена,,41,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
калькулятор газоблока онлайн,,41,samara,информационный,/samara/calculator,калькулятор,Wordstat,3,длинный,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
вес газобетона,,40,samara,информационный,/construction,характеристики,Wordstat,3,основной,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
газобетон сколько нужно,,40,samara,информационный,/samara/calculator,общий спрос,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
газобетон цена сгзсб,,40.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=40.0; clicks=29.0
газобетонные блоки в самаре цена сгзсб,,40.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=40.0; clicks=28.0
газоблоки в самаре от производителя цена,,40,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
коттедж газобетон,,40.0,samara,коммерческий,/samara/catalog,проекты зданий,Webmaster,2,основной,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=40.0; clicks=30.0; demand=40.0; clicks=30.0
купить газобетонные блоки сгзсб,,40.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=40.0; clicks=28.0
купить газоблок в самаре от производителя цена,,40,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=9.0; clicks=9.0
купить газоблоки цена от производителя,,40,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
пена для газобетона,,40,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
стоимость блоков из газобетона сгзсб,,40.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=40.0; clicks=30.0
стоимость газоблока за штуку в самаре сгзсб,,40.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=40.0; clicks=27.0
газобетон 600,,39,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон цена за куб сгзсб,,39.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=39.0; clicks=30.0
газобетонные блоки размеры и цены сгзсб,,39.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=39.0; clicks=28.0
газоблок 200,,39,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
купить газоблок сгзсб,,39.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=39.0; clicks=29.0
минусы газоблока,,39,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
несущий газобетон,,39,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
онлайн калькулятор газобетона,,39,samara,информационный,/samara/calculator,калькулятор,Wordstat,3,длинный,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
толщина газобетонных блоков,,39,samara,информационный,/construction,характеристики,Wordstat,3,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
цена газобетонные блоки в самаре цена сгзсб,,39.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=39.0; clicks=27.0
газобетон 1 этаж,,38,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон зимой,,38,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон коттедж самара цена,,38,samara,брендовый,/samara/catalog/,бренд: Коттедж,"Webmaster, Wordstat",2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=3.0; clicks=2.0; demand=3.0; clicks=2.0; demand=3.0; clicks=2.0
газобетонные блоки цена за штуку в самаре сгзсб,,38.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=38.0; clicks=28.0
газоблок под баню,,38,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон самарская область,,37,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 10,,37,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблоки штук в кубе,,37,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
новоблок газобетон,,37,samara,брендовый,/samara/catalog/,бренд: Новоблок,"Webmaster, Wordstat",2,основной,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=5.0; clicks=5.0
пол газобетон,,37,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
самарский газобетон,,37,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
устанавливают газобетон,,37,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон 150,,36,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон фундамент какой,,36,samara,информационный,/construction,фундамент,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок какая толщина,,36,samara,информационный,/construction,характеристики,Wordstat,3,вопрос,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
газоблок коттедж цена,,36,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
газоблоки самара сколько стоит,,36,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
рассчитать газобетон,,36,samara,информационный,/samara/calculator,общий спрос,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
расчет газобетонных блоков,,36,samara,информационный,/samara/calculator,калькулятор,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
цементного газобетона,,36,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
армирование газобетона,,35,samara,информационный,/construction,конструкции,"Webmaster, Wordstat",2,основной,средняя,,"Уточнить требования к армопоясу, добавить схемы",к проработке,demand=4.0; clicks=4.0
газобетон рядом,,35,samara,коммерческий,/samara/catalog,проекты зданий,Wordstat,3,основной,,,Сделать подборку проектов и расчеты материалов,наблюдать,
газобетонные блоки цена за штуку,,35,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
газоблок 5,,35,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 8,,35,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок дешево,,35,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок для перегородок,,35,samara,информационный,/construction,перегородки,Wordstat,3,длинный,,,"Выделить раздел про перегородки, указать размеры",наблюдать,
газоблок коттедж сайт,,35,samara,информационный,/construction,проекты зданий,Wordstat,3,длинный,,,Сделать подборку проектов и расчеты материалов,наблюдать,
официальный сайт газоблоки коттедж официальный,,35,samara,информационный,/construction,проекты зданий,Wordstat,3,длинный,,,Сделать подборку проектов и расчеты материалов,наблюдать,
ряд газобетона,,35,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
толщина стен из газобетона,,35,samara,информационный,/construction,характеристики,Wordstat,3,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
выбрать газобетон,,34,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон 63 официальный сайт,,34,samara,брендовый,/samara/catalog/-63,бренд: Газобетон 63,"Webmaster, Wordstat",2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=11.0; clicks=9.0
газоблок 600х400х250,,34,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок коттедж самара официальный сайт,,34,samara,коммерческий,/samara/catalog,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=9.0; clicks=6.0
газоблок самара официальный сайт,,34,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
онлайн расчет газобетона,,34,samara,информационный,/samara/calculator,калькулятор,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
резка газобетона,,34,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
утепляют ли газобетон,,34,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
фасадный газобетон,,34,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
фундамент из газобетона своими руками,,34,samara,коммерческий,/samara/catalog,фундамент,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
что лучше пеноблок или газоблок,,34,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=1.0; clicks=1.0
ширина газоблока,,34,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетонные блоки в тольятти купить,,33,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=13.0; clicks=14.0
какой газобетон использовать,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
какой нужен газобетон,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
куб газоблока сколько штук,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
куб газоблока сколько штук в кубе,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
можно ли класть газоблок,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
постройка газобетона,,33,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
сколько штук газоблока в кубе,,33,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон какой выбрать,,32,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон кг,,32,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон отзывы,,32,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетонные блоки кубы,,32,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок цена за куб сгзсб,,32.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=32.0; clicks=26.0
куб газобетонного блока,,32,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
несущие стены из газобетона,,32,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
утепляют ли газоблок,,32,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
1 куб газоблока,,31,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон 10х10,,31,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон чертеж,,31,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
нужны газобетонные блоки,,31,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
стен блок газобетон,,31,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
штука газобетона,,31,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
бетон газобетон,,30,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон материалы,,30,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок тольятти цена,,30,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
гараж из газоблока,,30,samara,информационный,/construction,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=1.0; clicks=1.0
завод коттедж газобетон,,30,samara,коммерческий,/samara/catalog,проекты зданий,Wordstat,3,длинный,,,Сделать подборку проектов и расчеты материалов,наблюдать,
количество газоблоков,,30,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
теплопроводность газобетона,,30,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
фундамент под баню из газоблока,,30,samara,информационный,/construction,фундамент,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
цена газоблока коттедж самара,,30,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
газобетон блок купить,,29,samara,коммерческий,/samara/catalog,покупка,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон завод самара,,29,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок штук в поддоне,,29,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
какая стена газобетона,,29,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
керамзитоблок или газоблок что лучше,,29,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",3,вопрос,средняя,,Расширить контент и CTA под региональные запросы,наблюдать,demand=1.0; clicks=1.0
крыша на газоблок,,29,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
минусы газобетона,,29,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
производство газоблока,,29,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
сколько газоблока в 1,,29,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
сколько стоит газобетонный блок,,29,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
сколько штук газоблока в поддоне,,29,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
1 куб сколько газоблоков,,28,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон блок цена,,28,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
газобетон или каркасный,,28,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон плюсы,,28,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон самому,,28,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 40,,28,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 600х300х200 за штуку,,28,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
тепло газобетон,,28,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
армирование газоблока,,27,samara,информационный,/construction,конструкции,Wordstat,3,основной,,,"Уточнить требования к армопоясу, добавить схемы",наблюдать,
армированный газобетон,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
армировать газобетон,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
армопояса под газобетон,,27,samara,коммерческий,/samara/catalog,конструкции,Wordstat,3,длинный,,,"Уточнить требования к армопоясу, добавить схемы",наблюдать,
высота газоблока,,27,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон 300 мм,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 625 300 300,,27,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок грасс,,27,samara,брендовый,/samara/catalog/,бренд: ГРАС,"Webmaster, Wordstat",3,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,наблюдать,demand=1.0; clicks=1.0
газоблок плюсы,,27,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок плюсы и минусы,,27,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблоки частные,,27,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
дешевый газобетон,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
куб блока газобетона,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
первый ряд газоблока,,27,samara,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
прочность газобетона,,27,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
размер газоблока,,27.0,samara,информационный,/construction,характеристики,Webmaster,3,основной,средняя,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,demand=27.0; clicks=14.0
саморезы для газобетона,,27,samara,коммерческий,/samara/catalog,крепеж,"Webmaster, Wordstat",3,длинный,высокая,,Расширить контент и CTA под региональные запросы,наблюдать,demand=2.0; clicks=2.0
стоимость газоблока в самаре,,27,samara,коммерческий,/samara/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
баня 6 6 газоблок,,26,samara,информационный,/construction,проекты зданий,Wordstat,3,длинный,,,Сделать подборку проектов и расчеты материалов,наблюдать,
блок газобетон самара,,26,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
блоки газобетон 300,,26,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
вес газобетонного блока,,26,samara,информационный,/construction,характеристики,Wordstat,3,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
газобетон 63 самара,,26,samara,брендовый,/samara/catalog/-63,бренд: Газобетон 63,"Webmaster, Wordstat",3,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,наблюдать,demand=2.0; clicks=1.0
газобетон бесплатно,,26,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон см,,26,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок 600,,26,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок м3,,26,samara,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок на улице,,26,samara,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблоки,,26.0,samara,информационный,/construction,общий спрос,Webmaster,3,основной,высокая,,Расширить контент и CTA под региональные запросы,наблюдать,demand=26.0; clicks=5.0
калькулятор расчета газобетонных блоков,,26,samara,информационный,/samara/calculator,калькулятор,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
ножовка по газобетону,,26,samara,коммерческий,/samara/catalog,инструменты,"Webmaster, Wordstat",3,длинный,высокая,,Расширить контент и CTA под региональные запросы,наблюдать,demand=2.0; clicks=2.0
